66003|12819277|1.000|1000001|20171003|20171025|000000|RDF2150|300|PCS|TEST_INS1|66203198
66003|12819277|2.000|1000001|20171003|20171025|000000|RDF3180|300|PCS|TEST_INS2|66203198
66003|12819278|1.000|1000001|20171003|20171009|000000|RDF3180|49|PCS|TEST_INS3|66203198
66003|12819282|1.000|1000001|20171003|20171212|000000|RDF3180|1000|PCS|TEST_INS4|66203199
66003|12819344|1.000|1000001|20171003|20171213|000000|RDF3180|200|PCS|TEST_INS5|66203199
66003|12819418|1.000|1000001|20171003|20171019|000000|RDF3180|30|PCS|TEST_INS6|66203197
66003|12819419|1.000|1000001|20171003|20171020|000000|RDF3180|300|PCS|TEST_INS7|66203197
66003|12819420|1.000|1000001|20171003|20171017|000000|RDF2150|96|PCS|TEST_INS8|66203197
66003|12819421|1.000|1000001|20171003|20171027|000000|RDF2150|2400|PCS|TEST_INS9|66203197
66003|12819422|1.000|1000001|20171003|20171110|000000|RDF2150|2400|PCS|TEST_INS10|66203197
66003|12819423|1.000|1000001|20171003|20171106|000000|RDF2150|3600|PCS|TEST_INS11|66203197
66003|12819424|1.000|1000001|20171003|20171117|000000|RDF2150|3600|PCS|TEST_INS12|66203197
66003|12819425|1.000|1000001|20171003|20171023|000000|RDF2150|100|PCS|TEST_INS13|66203197
66003|12819425|2.000|1000001|20171003|20171023|000000|RDF3180|100|PCS|TEST_INS14|66203197
